지역,업종,사업체규모,연차휴가부여,연차휴가사용,연령대,성별,학력,직업,월평균소득구간
15,6,3,23,8,30대,1,3,5,3
9,11,3,15,0,50대,2,2,3,3
4,11,3,15,0,40대,1,2,3,3
16,9,4,15,5,30대,1,4,3,2
2,13,4,18,10,20대,2,2,1,3
5,11,3,15,15,40대,2,3,3,3
9,6,3,0,0,40대,1,4,5,5
3,8,4,15,10,30대,2,4,4,2
5,13,6,0,0,20대,1,4,3,2
14,2,5,15,5,40대,1,2,7,3
2,7,6,16,2,50대,1,1,1,5
3,14,6,19,19,40대,2,3,3,4
9,1,3,15,7,30대,2,4,3,3
1,13,4,15,12,30대,1,4,3,4
13,6,2,0,0,50대,1,4,5,6
1,14,2,0,0,20대,2,3,4,2
14,10,6,18,15,30대,2,2,3,4
2,11,4,13,13,20대,2,2,3,3
7,14,5,21,15,50대,2,5,2,4
9,2,4,22,15,30대,2,2,3,3
3,2,3,13,0,20대,2,3,3,2
1,8,3,10,0,30대,1,4,4,3
13,11,4,15,15,30대,1,4,3,4
8,12,6,11,7,40대,2,4,3,5
10,9,4,12,12,20대,2,4,3,3
16,2,2,12,12,20대,2,3,3,2
1,16,5,25,0,40대,2,4,3,6
1,10,6,16,12,30대,2,4,3,4
13,6,5,17,0,20대,2,4,4,3
2,13,5,17,7,30대,2,4,3,2
9,11,3,15,12,40대,2,4,3,3
1,10,6,15,11,40대,2,4,3,4
1,16,6,18,13,40대,2,4,3,3
16,1,3,15,7,40대,1,4,1,4
1,9,4,15,15,20대,2,4,3,3
3,3,6,14,14,30대,2,4,3,3
9,8,2,15,0,40대,1,1,4,3
9,6,3,15,10,30대,2,4,3,2
11,2,5,15,13,40대,2,4,3,5
2,13,6,0,0,30대,1,3,4,4
6,4,4,16,11,30대,2,4,3,3
12,2,6,18,18,30대,1,4,3,4
3,8,5,15,15,20대,2,4,4,3
14,3,6,22,13,30대,2,4,3,3
1,9,3,18,10,40대,2,4,3,4
16,8,2,15,15,30대,2,1,4,3
15,8,2,15,9,20대,1,3,4,3
1,2,2,0,0,30대,1,4,3,3
1,8,3,11,11,30대,1,4,4,3
1,16,4,13,8,30대,2,4,3,3
1,9,6,18,17,20대,1,2,3,2
1,6,5,17,16,50대,2,4,4,5
1,10,6,16,13,40대,1,4,3,4
1,14,5,15,8,20대,2,4,3,2
9,4,2,0,0,40대,1,4,3,4
6,3,4,12,0,20대,1,4,3,3
9,8,2,0,0,30대,1,3,4,2
1,9,6,15,5,30대,1,4,3,3
1,8,6,23,14,30대,1,3,4,4
3,3,6,10,10,30대,2,4,3,3
5,15,6,18,18,30대,2,4,3,3
1,10,5,15,13,40대,2,4,3,4
2,2,6,16,15,50대,1,4,7,4
4,13,5,15,5,20대,1,4,3,2
1,5,6,0,0,20대,2,3,3,2
6,8,4,16,16,30대,1,3,3,3
2,6,2,0,0,50대,1,2,5,3
1,12,6,12,4,40대,2,4,3,3
16,10,2,0,0,40대,2,2,3,3
9,6,3,0,0,40대,1,2,5,3
1,15,4,12,0,50대,2,2,3,2
2,13,6,16,10,20대,1,4,3,3
13,5,4,15,15,30대,2,4,3,3
12,15,6,17,17,50대,2,2,4,5
12,10,4,22,15,50대,2,4,3,6
7,16,2,0,0,40대,1,2,7,4
10,13,5,15,0,20대,2,4,3,3
2,2,5,20,16,30대,1,4,7,3
15,1,3,18,18,30대,1,4,7,3
1,14,3,0,0,20대,2,3,4,2
13,14,3,15,15,50대,2,2,4,2
6,4,4,22,22,40대,1,4,2,3
5,16,3,15,15,30대,1,5,3,4
1,9,6,15,15,30대,1,4,3,4
9,7,4,10,10,30대,1,4,3,3
12,13,3,0,0,20대,2,3,3,2
14,8,4,15,0,20대,2,4,9,3
9,6,2,13,0,30대,1,2,5,3
14,5,3,0,0,20대,2,4,3,3
10,3,4,18,15,30대,2,4,3,4
1,12,6,15,7,20대,1,2,3,2
1,5,2,0,0,30대,2,3,3,2
3,3,6,16,16,30대,1,4,3,3
15,13,3,15,12,30대,2,2,3,3
9,9,2,15,15,30대,1,3,3,3
14,12,5,16,16,30대,2,2,3,3
4,2,2,0,0,20대,1,2,7,2
2,2,6,16,14,30대,2,4,3,3
13,13,6,15,0,30대,1,4,3,3
1,5,6,13,13,40대,2,4,3,3
12,2,6,15,0,30대,2,4,3,4
6,7,5,17,14,30대,2,4,3,3
9,2,4,13,10,40대,2,4,3,3
1,6,3,0,0,30대,2,4,3,2
6,7,5,17,17,30대,2,4,3,3
2,14,2,0,0,30대,2,2,4,3
7,16,2,16,11,30대,2,5,2,2
1,10,5,25,25,40대,2,2,3,5
10,9,5,20,16,40대,1,4,3,4
2,2,5,20,10,40대,2,4,3,4
9,6,4,25,5,30대,1,4,5,2
9,9,3,15,15,20대,1,3,2,2
7,12,2,15,15,30대,2,3,3,3
2,7,6,21,12,50대,2,2,1,3
1,3,5,25,15,40대,1,4,3,4
